club_id,team_id,game_time,division,artificial_grass,field_id,color
92,3,12:30,6A,True,N04,Noir
92,4,14:00,6B,True,N04,Noir
38,1,14:00,6A,True,A03,Bleu foncé
423,1,13:00,1,True,W10,Noir et blanc
423,2,14:30,6A,True,W10,Noir et blanc
347,1,15:30,6D,True,J01,Bleu et blanc
664,1,15:30,5C,True,I03,Noir et jaune
498,1,15:30,5B,True,B08,Orange
498,2,15:30,6E,True,B08,Jaune
662,1,15:00,5C,True,P02,Blanc
392,1,14:00,4C,True,E07,Bordeaux
44,1,12:30,2A,True,R02,Bleu
44,2,14:00,2B,True,R02,Bleu
44,3,14:00,6D,False,R02,Bleu
130,1,14:00,4C,False,A09,Jaune et bleu
542,1,13:30,1,True,S09,Jaune et Bleu.
627,1,15:30,3C,False,G04,Vert/blanc
634,1,14:00,3D,True,F01,Bleu
661,1,13:30,5B,False,B14,Beige et bordeaux
33,1,14:00,6A,False,B07,Rouge et Bleu
169,1,15:30,3A,True,B03,Rouge
93,1,15:30,4C,False,W16,Rouge et  Noir
93,2,14:00,6D,False,W16,Noir
606,1,15:30,4B,True,A11,Jaune
643,1,15:30,3D,True,C02,Bordeaux
578,1,15:30,2B,True,W07,Bleu et bordeaux
5,1,15:15,6A,True,J02,Vert rayé de blanc
56,1,15:30,4A,True,A08,Bleu
263,1,14:00,2A,False,A12,Bleu
263,2,12:30,4C,False,A12,Bleu
263,3,15:30,6B,False,A12,Bleu
359,1,15:30,3A,False,K02,Rouge foncé
359,2,15:30,3B,True,K02,Rose
359,3,14:00,4B,True,K02,Noir et rouge
359,4,14:00,4C,False,K02,"Bordeaux, Blanc"
306,1,14:00,4B,True,N03,Bleu et jaune
306,2,15:30,6B,True,N03,Orange fluo
503,1,15:00,4A,False,N03,Rouge et noir
420,1,12:30,3A,True,A03,Bleu
455,1,13:00,4B,False,B02,Jaune et bleu
455,2,15:30,6D,False,B02,Noir
123,1,14:00,4C,False,K02,Bleu
123,2,15:30,6E,False,K02,Bleu
428,1,15:30,5C,True,R02,Bleu
582,1,15:30,3B,True,O05,Rouge et blanc.
628,1,15:30,4B,True,W10,Rouge
279,1,14:00,4C,False,L07,Noir
268,1,15:30,3A,True,W05,Blanc
268,2,15:30,3B,True,F01,Jaune
268,3,13:30,6B,True,J02,Vert
268,4,14:00,6C,True,F01,Bleu
63,1,13:30,5C,False,O02,Bleu
635,1,15:30,5B,False,G04,Noir/ rose
652,1,14:00,5B,True,N03,Noir
403,1,15:30,1,True,A03,Rouge
75,1,14:00,5A,False,J01,Rouge et noir
75,2,15:30,6D,False,J01,Rouge et noir
30,1,15:30,2B,True,M07,Bleu
620,1,14:00,5A,True,E04,Rayé Bordeaux Blanc et Bleu
622,1,14:00,3B,True,W19,Bleu et Jaune
600,1,14:00,3B,True,W10,Jaune et rose
572,1,14:00,5B,False,N04,Rouge et noir
605,1,14:00,3A,True,M06,Jaune
57,1,14:00,4A,True,B08,Bleu marine/Orange
663,1,15:30,5C,True,N03,Noir et rouge
556,1,14:00,3A,True,O05,Noir
654,1,15:30,4A,True,L08,Jaune et bleu
221,1,14:00,3B,True,W15,Blanc
221,2,15:30,3C,True,W15,Blanc
221,3,15:30,4A,True,W13,Blanc
221,4,14:00,6C,True,W13,Blanc
658,1,13:30,5C,True,E10,Noir et bleu
657,1,11:30,5C,False,T06,Bleu marine
274,1,14:00,2A,True,A09,Gris et Noir
641,1,12:30,4D,True,W05,Noir
340,1,15:30,3A,True,A03,Rayé Bleu et Jaune
637,1,15:30,3D,True,M07,Rouge et blanc
598,1,12:30,3C,True,O05,Vert et Blanc
181,1,14:00,3A,True,O05,Orange
181,2,12:30,4A,True,O05,Orange
181,3,15:30,4D,True,O05,Orange
181,4,15:00,6D,False,O04,Orange
48,1,15:30,3C,False,A09,Rayé Vert et blanc
574,1,13:00,4A,True,S09,Noir
574,2,13:30,4D,True,S01,Noir
644,1,14:45,4D,True,W16,Rouge et noir
237,1,12:30,6E,False,K02,Orange
292,1,13:30,2A,False,T02,Rouge
292,2,15:00,2B,False,T02,Rouge
292,3,13:30,6A,False,T02,Rouge
292,4,15:00,6B,False,T02,Rouge et bleu
617,1,15:30,4C,True,W19,Bordeaux
445,1,12:30,4B,True,L09,Bleu marine
445,2,14:00,6A,True,L09,Bleu marine
451,1,15:30,6C,False,T06,Jaune et Rouge
214,1,14:00,4D,True,U02,Equipe 1 : Rouge rayé de noir
