home_club_id,away_club_id,time,division,date,day,played,result,time_most_frequent,datetime_start,datetime_end
999,455,00:00,4B,2022-09-03,1,False,,00:00,2022-09-03 00:00:00+02:00,2022-09-03 01:10:00+02:00
999,445,00:00,4B,2022-09-03,1,False,,00:00,2022-09-03 00:00:00+02:00,2022-09-03 01:10:00+02:00
999,497,00:00,4B,2022-09-10,2,False,,00:00,2022-09-10 00:00:00+02:00,2022-09-10 01:10:00+02:00
999,306,00:00,4B,2022-09-17,3,False,,00:00,2022-09-17 00:00:00+02:00,2022-09-17 01:10:00+02:00
999,345,00:00,4B,2022-09-24,4,False,,00:00,2022-09-24 00:00:00+02:00,2022-09-24 01:10:00+02:00
999,999,00:00,4B,2022-10-01,5,False,,00:00,2022-10-01 00:00:00+02:00,2022-10-01 01:10:00+02:00
999,306,00:00,4B,2022-10-08,6,False,,00:00,2022-10-08 00:00:00+02:00,2022-10-08 01:10:00+02:00
999,412,00:00,4B,2022-10-15,7,False,,00:00,2022-10-15 00:00:00+02:00,2022-10-15 01:10:00+02:00
999,522,00:00,4B,2022-11-05,9,False,,00:00,2022-11-05 00:00:00+01:00,2022-11-05 01:10:00+01:00
999,39,00:00,4B,2022-11-05,9,False,,00:00,2022-11-05 00:00:00+01:00,2022-11-05 01:10:00+01:00
999,606,00:00,4B,2022-11-19,11,False,,00:00,2022-11-19 00:00:00+01:00,2022-11-19 01:10:00+01:00
999,359,00:00,4B,2022-11-19,11,False,,00:00,2022-11-19 00:00:00+01:00,2022-11-19 01:10:00+01:00
999,67,00:00,4B,2022-12-03,13,False,,00:00,2022-12-03 00:00:00+01:00,2022-12-03 01:10:00+01:00
999,606,00:00,4B,2022-12-10,14,False,,00:00,2022-12-10 00:00:00+01:00,2022-12-10 01:10:00+01:00
999,628,00:00,4B,2023-01-07,16,False,,00:00,2023-01-07 00:00:00+01:00,2023-01-07 01:10:00+01:00
999,999,00:00,4B,2023-01-14,17,False,,00:00,2023-01-14 00:00:00+01:00,2023-01-14 01:10:00+01:00
999,522,00:00,4B,2023-01-21,18,False,,00:00,2023-01-21 00:00:00+01:00,2023-01-21 01:10:00+01:00
999,628,00:00,4B,2023-01-28,19,False,,00:00,2023-01-28 00:00:00+01:00,2023-01-28 01:10:00+01:00
999,455,00:00,4B,2023-02-04,20,False,,00:00,2023-02-04 00:00:00+01:00,2023-02-04 01:10:00+01:00
999,67,00:00,4B,2023-02-04,20,False,,00:00,2023-02-04 00:00:00+01:00,2023-02-04 01:10:00+01:00
999,497,00:00,4B,2023-02-25,22,False,,00:00,2023-02-25 00:00:00+01:00,2023-02-25 01:10:00+01:00
999,39,00:00,4B,2023-02-25,22,False,,00:00,2023-02-25 00:00:00+01:00,2023-02-25 01:10:00+01:00
999,412,00:00,4B,2023-03-04,23,False,,00:00,2023-03-04 00:00:00+01:00,2023-03-04 01:10:00+01:00
999,359,00:00,4B,2023-03-04,23,False,,00:00,2023-03-04 00:00:00+01:00,2023-03-04 01:10:00+01:00
999,345,00:00,4B,2023-03-25,26,False,,00:00,2023-03-25 00:00:00+01:00,2023-03-25 01:10:00+01:00
999,445,00:00,4B,2023-03-25,26,False,,00:00,2023-03-25 00:00:00+01:00,2023-03-25 01:10:00+01:00
522,412,12:30,4B,2022-09-03,1,True,1-1,12:30,2022-09-03 12:30:00+02:00,2022-09-03 13:40:00+02:00
